icd_codes,icd_codes_nice,icd_version,desc
78605,'786.05,9,Shortness of breath
78607,'786.07,9,Wheezing
78609,'786.09,9,Other respiratory abnormalities
7862,'786.2,9,Cough
7863,'786.3,9,Hemoptysis
78630,'786.30,9,"Hemoptysis, unspecified"
78631,'786.31,9,Acute idiopathic pulmonary hemorrhage in infants [AIPHI]
78639,'786.39,9,Other hemoptysis
78650,'786.50,9,"Chest pain, unspecified"
78651,'786.51,9,Precordial pain
78652,'786.52,9,Painful respiration
78659,'786.59,9,Other chest pain
7866,'786.6,9,"Swelling, mass, or lump in chest"
7869,'786.9,9,Other symptoms involving respiratory system and chest
78720,'787.20,9,"Dysphagia, unspecified"
78791,'787.91,9,Diarrhea
78900,'789.00,9,"Abdominal pain, unspecified site"
78901,'789.01,9,"Abdominal pain, right upper quadrant"
78906,'789.06,9,"Abdominal pain, epigastric"
78907,'789.07,9,"Abdominal pain, generalized"
78909,'789.09,9,"Abdominal pain, other specified site"
7908,'790.8,9,"Viremia, unspecified"
7931,'793.1,9,Lung field
79311,'793.11,9,Solitary pulmonary nodule
79319,'793.19,9,Other nonspecific abnormal finding of lung field
79902,'799.02,9,Hypoxemia
99591,'995.91,9,Sepsis
V741,'V74.1,9,Screening examination for pulmonary tuberculosis
M2550,'M25.50,10,Pain in unspecified joint
M791,'M79.1,10,Myalgia
M7910,'M79.10,10,"Myalgia, unspecified site"
M7911,'M79.11,10,Myalgia of mastication muscle
M7912,'M79.12,10,"Myalgia of auxiliary muscles, head and neck"
M7918,'M79.18,10,"Myalgia, other site"
R042,'R04.2,10,Hemoptysis
R05,'R05,10,Cough
R0600,'R06.00,10,"Dyspnea, unspecified"
R0602,'R06.02,10,Shortness of breath
R0609,'R06.09,10,Other forms of dyspnea
R062,'R06.2,10,Wheezing
R0689,'R06.89,10,Other abnormalities of breathing
R069,'R06.9,10,Unspecified abnormalities of breathing
R071,'R07.1,10,Chest pain on breathing
R072,'R07.2,10,Precordial pain
R0781,'R07.81,10,Pleurodynia
R0782,'R07.82,10,Intercostal pain
R0789,'R07.89,10,Other chest pain
R079,'R07.9,10,"Chest pain, unspecified"
R1010,'R10.10,10,"Upper abdominal pain, unspecified"
R1011,'R10.11,10,Right upper quadrant pain
R1013,'R10.13,10,Epigastric pain
R102,'R10.2,10,Pelvic and perineal pain
R1030,'R10.30,10,"Lower abdominal pain, unspecified"
R1084,'R10.84,10,Generalized abdominal pain
R109,'R10.9,10,Unspecified abdominal pain
R5081,'R50.81,10,Fever presenting with conditions classified elsewhere
R509,'R50.9,10,"Fever, unspecified"
R51,'R51,10,Headache
R531,'R53.1,10,Weakness
R5381,'R53.81,10,Other malaise
R5383,'R53.83,10,Other fatigue
R61,'R61,10,Generalized hyperhidrosis
R634,'R63.4,10,Abnormal weight loss
A419,'A41.9,10,"Sepsis, unspecified organism"
B349,'B34.9,10,"Viral infection, unspecified"
B9789,'B97.89,10,Other viral agents as the cause of diseases classified elsewhere
G039,'G03.9,10,"Meningitis, unspecified"
J0190,'J01.90,10,"Acute sinusitis, unspecified"
J020,'J02.0,10,Streptococcal pharyngitis
J029,'J02.9,10,"Acute pharyngitis, unspecified"
J069,'J06.9,10,"Acute upper respiratory infection, unspecified"
J101,'J10.1,10,Influenza due to other identified influenza virus with other respiratory manifestations
J111,'J11.1,10,Influenza due to unidentified influenza virus with other respiratory manifestations
J13,'J13,10,Pneumonia due to Streptococcus pneumoniae
J158,'J15.8,10,Pneumonia due to other specified bacteria
J159,'J15.9,10,Unspecified bacterial pneumonia
J168,'J16.8,10,Pneumonia due to other specified infectious organisms
J180,'J18.0,10,"Bronchopneumonia, unspecified organism"
J181,'J18.1,10,"Lobar pneumonia, unspecified organism"
J182,'J18.2,10,"Hypostatic pneumonia, unspecified organism"
J188,'J18.8,10,"Other pneumonia, unspecified organism"
J189,'J18.9,10,"Pneumonia, unspecified organism"
J208,'J20.8,10,Acute bronchitis due to other specified organisms
J209,'J20.9,10,"Acute bronchitis, unspecified"
J329,'J32.9,10,"Chronic sinusitis, unspecified"
J40,'J40,10,"Bronchitis, not specified as acute or chronic"
J851,'J85.1,10,Abscess of lung with pneumonia
J852,'J85.2,10,Abscess of lung without pneumonia
N390,'N39.0,10,"Urinary tract infection, site not specified"
C3410,'C34.10,10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung"
C3411,'C34.11,10,"Malignant neoplasm of upper lobe, right bronchus or lung"
C3430,'C34.30,10,"Malignant neoplasm of lower lobe, unspecified bronchus or lung"
C3490,'C34.90,10,Malignant neoplasm of unspecified part of unspecified bronchus or lung
D1430,'D14.30,10,Benign neoplasm of unspecified bronchus and lung
D381,'D38.1,10,"Neoplasm of uncertain behavior of trachea, bronchus and lung"
D491,'D49.1,10,Neoplasm of unspecified behavior of respiratory system
D860,'D86.0,10,Sarcoidosis of lung
D869,'D86.9,10,"Sarcoidosis, unspecified"
I2789,'I27.89,10,Other specified pulmonary heart diseases
I319,'I31.9,10,"Disease of pericardium, unspecified"
I509,'I50.9,10,"Heart failure, unspecified"
J42,'J42,10,Unspecified chronic bronchitis
J439,'J43.9,10,"Emphysema, unspecified"
J441,'J44.1,10,Chronic obstructive pulmonary disease with (acute) exacerbation
J449,'J44.9,10,"Chronic obstructive pulmonary disease, unspecified"
J4540,'J45.40,10,"Moderate persistent asthma, uncomplicated"
J45901,'J45.901,10,Unspecified asthma with (acute) exacerbation
J45909,'J45.909,10,"Unspecified asthma, uncomplicated"
J45998,'J45.998,10,Other asthma
J80,'J80,10,Acute respiratory distress syndrome
J811,'J81.1,10,Chronic pulmonary edema
J82,'J82,10,"Pulmonary eosinophilia, not elsewhere classified"
J8410,'J84.10,10,"Pulmonary fibrosis, unspecified"
J8489,'J84.89,10,Other specified interstitial pulmonary diseases
J849,'J84.9,10,"Interstitial pulmonary disease, unspecified"
J850,'J85.0,10,Gangrene and necrosis of lung
J869,'J86.9,10,Pyothorax without fistula
J918,'J91.8,10,Pleural effusion in other conditions classified elsewhere
J9383,'J93.83,10,Other pneumothorax
J941,'J94.1,10,Fibrothorax
J948,'J94.8,10,Other specified pleural conditions
J949,'J94.9,10,"Pleural condition, unspecified"
J9600,'J96.00,10,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia"
J9601,'J96.01,10,Acute respiratory failure with hypoxia
J9621,'J96.21,10,Acute and chronic respiratory failure with hypoxia
J9690,'J96.90,10,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia"
J9801,'J98.01,10,Acute bronchospasm
J9819,'J98.19,10,Other pulmonary collapse
J984,'J98.4,10,Other disorders of lung
R049,'R04.9,10,"Hemorrhage from respiratory passages, unspecified"
R091,'R09.1,10,Pleurisy
D61818,'D61.818,10,Other pancytopenia
D696,'D69.6,10,"Thrombocytopenia, unspecified"
D721,'D72.1,10,Eosinophilia
D72829,'D72.829,10,"Elevated white blood cell count, unspecified"
E871,'E871,10,Hypo-osmolality and hyponatremia
I517,'I51.7,10,Cardiomegaly
J90,'J90,10,"Pleural effusion, not elsewhere classified"
J9811,'J98.11,10,Atelectasis
R000,'R00.0,10,"Tachycardia, unspecified"
R0902,'R09.02,10,Hypoxemia
R220,'R22.0,10,"Localized swelling, mass and lump, head"
R221,'R22.1,10,"Localized swelling, mass and lump, neck"
R222,'R22.2,10,"Localized swelling, mass and lump, trunk"
R229,'R22.9,10,"Localized swelling, mass and lump, unspecified"
R590,'R59.0,10,Localized enlarged lymph nodes
R591,'R59.1,10,Generalized enlarged lymph nodes
R599,'R59.9,10,"Enlarged lymph nodes, unspecified"
R740,'R74.0,10,Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH]
R911,'R91.1,10,Solitary pulmonary nodule
R918,'R91.8,10,Other nonspecific abnormal finding of lung field
R945,'R94.5,10,Abnormal results of liver function studies
Z111,'Z11.1,10,Encounter for screening for respiratory tuberculosis
R21,'R21,10,Rash and other nonspecific skin eruption
L52,'L52,10,Erythema nodosum
